LAD,LADn,UTLA,UTLAn,RGN,RGNn,CTRY,CTRYn,x_lon,y_lat,area
E07000081,Gloucester,E10000013,Gloucestershire,E12000009,South West,E92000001,England,-2.23263,51.84641,40.5463053806381
E07000082,Stroud,E10000013,Gloucestershire,E12000009,South West,E92000001,England,-2.30818,51.72001,460.616985042732
E07000083,Tewkesbury,E10000013,Gloucestershire,E12000009,South West,E92000001,England,-2.19998,51.93485,414.406209649506
E06000053,Isles of Scilly,E06000053,Isles of Scilly,E12000009,South West,E92000001,England,-6.30217,49.92332,16.3466885369222
E06000024,North Somerset,E06000024,North Somerset,E12000009,South West,E92000001,England,-2.75438,51.39706,374.650210144997
E06000026,Plymouth,E06000026,Plymouth,E12000009,South West,E92000001,England,-4.11297,50.40494,79.8416262805195
E07000187,Mendip,E10000027,Somerset,E12000009,South West,E92000001,England,-2.54178,51.19476,739.393243249989
E07000188,Sedgemoor,E10000027,Somerset,E12000009,South West,E92000001,England,-2.88246,51.19186,564.237031150406
E07000246,Somerset West and Taunton,E10000027,Somerset,E12000009,South West,E92000001,England,-3.35766,51.06348,1189.16932045251
E07000189,South Somerset,E10000027,Somerset,E12000009,South West,E92000001,England,-2.77588,50.98399,959.011857363087
E06000025,South Gloucestershire,E06000025,South Gloucestershire,E12000009,South West,E92000001,England,-2.46922,51.54673,497.027840981224
E06000030,Swindon,E06000030,Swindon,E12000009,South West,E92000001,England,-1.73367,51.57763,230.091397936996
E06000027,Torbay,E06000027,Torbay,E12000009,South West,E92000001,England,-3.55523,50.47092,62.9143100538454
E06000054,Wiltshire,E06000054,Wiltshire,E12000009,South West,E92000001,England,-1.92661,51.32883,3255.35962091747
E06000019,"Herefordshire, County of",E06000019,"Herefordshire, County of",E12000005,West Midlands,E92000001,England,-2.73931,52.08154,2179.66699772301
E06000051,Shropshire,E06000051,Shropshire,E12000005,West Midlands,E92000001,England,-2.73667,52.62212,3197.31326242727
E07000192,Cannock Chase,E10000028,Staffordshire,E12000005,West Midlands,E92000001,England,-1.98277,52.70166,78.8930449708939
E07000193,East Staffordshire,E10000028,Staffordshire,E12000005,West Midlands,E92000001,England,-1.81438,52.83651,389.989667501762
E07000194,Lichfield,E10000028,Staffordshire,E12000005,West Midlands,E92000001,England,-1.76049,52.69615,331.249730765907
E07000195,Newcastle-under-Lyme,E10000028,Staffordshire,E12000005,West Midlands,E92000001,England,-2.32631,53.00345,210.970674624611
E07000196,South Staffordshire,E10000028,Staffordshire,E12000005,West Midlands,E92000001,England,-2.15495,52.69692,407.322540068932
E07000197,Stafford,E10000028,Staffordshire,E12000005,West Midlands,E92000001,England,-2.16475,52.84792,598.191871058464
E07000198,Staffordshire Moorlands,E10000028,Staffordshire,E12000005,West Midlands,E92000001,England,-1.99334,53.06924,575.824953478516
E07000199,Tamworth,E10000028,Staffordshire,E12000005,West Midlands,E92000001,England,-1.68451,52.62031,30.8612867782135
E06000021,Stoke-on-Trent,E06000021,Stoke-on-Trent,E12000005,West Midlands,E92000001,England,-2.15888,53.01707,93.4094423483658
E06000020,Telford and Wrekin,E06000020,Telford and Wrekin,E12000005,West Midlands,E92000001,England,-2.48941,52.71417,290.32744482988
E07000218,North Warwickshire,E10000031,Warwickshire,E12000005,West Midlands,E92000001,England,-1.6242,52.56484,284.263216688499
E07000219,Nuneaton and Bedworth,E10000031,Warwickshire,E12000005,West Midlands,E92000001,England,-1.47965,52.50094,78.9749143981934
E07000220,Rugby,E10000031,Warwickshire,E12000005,West Midlands,E92000001,England,-1.31828,52.38228,353.521131533813
E07000221,Stratford-on-Avon,E10000031,Warwickshire,E12000005,West Midlands,E92000001,England,-1.63565,52.16154,977.88120974353
E07000222,Warwick,E10000031,Warwickshire,E12000005,West Midlands,E92000001,England,-1.58369,52.30142,282.87741092289
E08000025,Birmingham,E11000005,West Midlands,E12000005,West Midlands,E92000001,England,-1.88141,52.48404,267.777386362793
E08000026,Coventry,E11000005,West Midlands,E12000005,West Midlands,E92000001,England,-1.51908,52.41423,98.6240881915283
E08000027,Dudley,E11000005,West Midlands,E12000005,West Midlands,E92000001,England,-2.10171,52.49513,97.9396185682602
E08000028,Sandwell,E11000005,West Midlands,E12000005,West Midlands,E92000001,England,-2.00771,52.51477,85.5886226174545
E08000029,Solihull,E11000005,West Midlands,E12000005,West Midlands,E92000001,England,-1.71558,52.431,178.28939188768
E08000030,Walsall,E11000005,West Midlands,E12000005,West Midlands,E92000001,England,-1.97044,52.60503,103.989562694435
E08000031,Wolverhampton,E11000005,West Midlands,E12000005,West Midlands,E92000001,England,-2.12746,52.59788,69.4394650673599
E07000234,Bromsgrove,E10000034,Worcestershire,E12000005,West Midlands,E92000001,England,-2.00376,52.36169,217.02440464695
E07000235,Malvern Hills,E10000034,Worcestershire,E12000005,West Midlands,E92000001,England,-2.33089,52.16758,577.089149545784
E07000236,Redditch,E10000034,Worcestershire,E12000005,West Midlands,E92000001,England,-1.9471,52.28541,54.2662290936356
E07000237,Worcester,E10000034,Worcestershire,E12000005,West Midlands,E92000001,England,-2.21025,52.19482,33.2941469516983
E07000238,Wychavon,E10000034,Worcestershire,E12000005,West Midlands,E92000001,England,-2.01614,52.12886,663.451081744408
E07000239,Wyre Forest,E10000034,Worcestershire,E12000005,West Midlands,E92000001,England,-2.23494,52.3853,195.421918626526
E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-0.66195,53.88112,2404.95506076044
E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber,E92000001,England,-0.30382,53.7692,71.6108643509674
E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,E12000003,Yorkshire and The Humber,E92000001,England,-0.13911,53.52327,192.712894195221
E06000013,North Lincolnshire,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,E92000001,England,-0.52407,53.58643,846.530987092484
E07000163,Craven,E10000023,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-2.16168,54.05376,1178.93131217836
E07000164,Hambleton,E10000023,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.34049,54.30872,1311.23547424028
E07000165,Harrogate,E10000023,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.58161,54.07708,1309.04707850813
E07000166,Richmondshire,E10000023,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.98552,54.35761,1318.70219100594
E07000167,Ryedale,E10000023,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-0.84277,54.20021,1506.64417926918
E07000168,Scarborough,E10000023,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-0.52778,54.3465,816.283277514221
E07000169,Selby,E10000023,North Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.12908,53.73327,599.305172341629
E08000016,Barnsley,E11000003,South Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.54925,53.52577,329.128878884766
E08000017,Doncaster,E11000003,South Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.10894,53.52697,568.021806712189
E08000018,Rotherham,E11000003,South Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.28651,53.39553,286.466689085205
E08000019,Sheffield,E11000003,South Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.54254,53.40358,367.85289978949
E08000032,Bradford,E11000006,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.87389,53.84382,366.393462768555
E08000033,Calderdale,E11000006,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.96182,53.72048,363.994685962402
E08000034,Kirklees,E11000006,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.78085,53.64233,408.496914221252
E08000035,Leeds,E11000006,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.50736,53.82273,551.786395121796
E08000036,Wakefield,E11000006,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,-1.42092,53.65922,338.612308789612
E06000014,York,E06000014,York,E12000003,Yorkshire and The Humber,E92000001,England,-1.07375,53.96582,271.935449482834
W06000019,Blaenau Gwent,W06000019,Blaenau Gwent,,,W92000004,Wales,-3.18592,51.75364,108.725540681915
W06000013,Bridgend,W06000013,Bridgend,,,W92000004,Wales,-3.61375,51.5606,250.840881333748
W06000018,Caerphilly,W06000018,Caerphilly,,,W92000004,Wales,-3.19753,51.65001,277.352303206162
W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,-3.22209,51.50254,142.359928389256
W06000010,Carmarthenshire,W06000010,Carmarthenshire,,,W92000004,Wales,-4.2111,51.89495,2371.03295732521
W06000008,Ceredigion,W06000008,Ceredigion,,,W92000004,Wales,-3.94993,52.29795,1788.28305988192
W06000003,Conwy,W06000003,Conwy,,,W92000004,Wales,-3.74646,53.14739,1130.29285429797
W06000004,Denbighshire,W06000004,Denbighshire,,,W92000004,Wales,-3.34761,53.08833,838.733708089432
W06000005,Flintshire,W06000005,Flintshire,,,W92000004,Wales,-3.18248,53.21471,439.740000927986
W06000002,Gwynedd,W06000002,Gwynedd,,,W92000004,Wales,-3.77715,52.89883,2548.40168127432
W06000001,Isle of Anglesey,W06000001,Isle of Anglesey,,,W92000004,Wales,-4.32298,53.27931,715.159890554802
W06000024,Merthyr Tydfil,W06000024,Merthyr Tydfil,,,W92000004,Wales,-3.36425,51.74858,111.930293773514
W06000021,Monmouthshire,W06000021,Monmouthshire,,,W92000004,Wales,-2.9028,51.77827,850.337006391602
W06000012,Neath Port Talbot,W06000012,Neath Port Talbot,,,W92000004,Wales,-3.74638,51.6445,442.232357277447
W06000022,Newport,W06000022,Newport,,,W92000004,Wales,-2.89769,51.58231,190.445743026707
W06000009,Pembrokeshire,W06000009,Pembrokeshire,,,W92000004,Wales,-4.90818,51.85513,1618.11095472271
W06000023,Powys,W06000023,Powys,,,W92000004,Wales,-3.43531,52.34864,5195.4172472797
W06000016,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf,,,W92000004,Wales,-3.41359,51.62185,424.1341870298
W06000011,Swansea,W06000011,Swansea,,,W92000004,Wales,-3.96723,51.65806,377.53915742181
W06000020,Torfaen,W06000020,Torfaen,,,W92000004,Wales,-3.05101,51.69836,126.223129768017
W06000014,Vale of Glamorgan,W06000014,Vale of Glamorgan,,,W92000004,Wales,-3.39801,51.44836,331.272439190769
W06000006,Wrexham,W06000006,Wrexham,,,W92000004,Wales,-2.99203,53.00167,503.684318663422
