LAD,LADn,UTLA,UTLAn,RGN,RGNn,CTRY,CTRYn,x_lon,y_lat,area
E07000077,Uttlesford,E10000012,Essex,E12000006,East of England,E92000001,England,0.294485,51.93592,641.116042483047
E07000095,Broxbourne,E10000015,Hertfordshire,E12000006,East of England,E92000001,England,-0.05073,51.7208,51.4596222493668
E07000096,Dacorum,E10000015,Hertfordshire,E12000006,East of England,E92000001,England,-0.55098,51.76845,212.439075957176
E07000242,East Hertfordshire,E10000015,Hertfordshire,E12000006,East of England,E92000001,England,0.002739,51.86485,475.708897363335
E07000098,Hertsmere,E10000015,Hertfordshire,E12000006,East of England,E92000001,England,-0.26899,51.68017,101.112582739204
E07000099,North Hertfordshire,E10000015,Hertfordshire,E12000006,East of England,E92000001,England,-0.22314,51.95738,375.374474341637
E07000240,St Albans,E10000015,Hertfordshire,E12000006,East of England,E92000001,England,-0.3407,51.77356,161.267075786026
E07000243,Stevenage,E10000015,Hertfordshire,E12000006,East of England,E92000001,England,-0.18987,51.90539,25.9419600195923
E07000102,Three Rivers,E10000015,Hertfordshire,E12000006,East of England,E92000001,England,-0.45005,51.65632,88.8052867943268
E07000103,Watford,E10000015,Hertfordshire,E12000006,East of England,E92000001,England,-0.40429,51.6717,21.4036764801941
E07000241,Welwyn Hatfield,E10000015,Hertfordshire,E12000006,East of England,E92000001,England,-0.18518,51.76087,129.481543037354
E06000032,Luton,E06000032,Luton,E12000006,East of England,E92000001,England,-0.42319,51.89102,43.3590401051331
E07000143,Breckland,E10000020,Norfolk,E12000006,East of England,E92000001,England,0.818716,52.59421,1305.12143830611
E07000144,Broadland,E10000020,Norfolk,E12000006,East of England,E92000001,England,1.252317,52.69622,551.98833593605
E07000145,Great Yarmouth,E10000020,Norfolk,E12000006,East of England,E92000001,England,1.64951,52.68439,174.236722559219
E07000146,King's Lynn and West Norfolk,E10000020,Norfolk,E12000006,East of England,E92000001,England,0.533243,52.71283,1439.03232917819
E07000147,North Norfolk,E10000020,Norfolk,E12000006,East of England,E92000001,England,1.132099,52.83389,967.131131309906
E07000148,Norwich,E10000020,Norfolk,E12000006,East of England,E92000001,England,1.284979,52.64013,39.0832717203979
E07000149,South Norfolk,E10000020,Norfolk,E12000006,East of England,E92000001,England,1.373233,52.51218,907.496408329254
E06000031,Peterborough,E06000031,Peterborough,E12000006,East of England,E92000001,England,-0.26874,52.59214,343.411218508179
E06000033,Southend-on-Sea,E06000033,Southend-on-Sea,E12000006,East of England,E92000001,England,0.706923,51.54917,41.6590181041031
E07000200,Babergh,E10000029,Suffolk,E12000006,East of England,E92000001,England,0.916149,52.0645,595.120560631805
E07000244,East Suffolk,E10000029,Suffolk,E12000006,East of England,E92000001,England,1.456186,52.24399,1260.80371007199
E07000202,Ipswich,E10000029,Suffolk,E12000006,East of England,E92000001,England,1.166145,52.05592,39.5142530467682
E07000203,Mid Suffolk,E10000029,Suffolk,E12000006,East of England,E92000001,England,1.096953,52.21859,871.028740129242
E07000245,West Suffolk,E10000029,Suffolk,E12000006,East of England,E92000001,England,0.652769,52.30842,1034.72553246582
E06000034,Thurrock,E06000034,Thurrock,E12000006,East of England,E92000001,England,0.334861,51.50998,163.771440663017
E09000007,Camden,E13000001,Inner London,E12000007,London,E92000001,England,-0.16291,51.54305,21.7857749206848
E09000001,City of London,E13000001,Inner London,E12000007,London,E92000001,England,-0.09351,51.51564,2.8847070378876
E09000012,Hackney,E13000001,Inner London,E12000007,London,E92000001,England,-0.06045,51.55492,19.0413627100601
E09000013,Hammersmith and Fulham,E13000001,Inner London,E12000007,London,E92000001,England,-0.21735,51.48733,16.3958654048996
E09000014,Haringey,E13000001,Inner London,E12000007,London,E92000001,England,-0.1067,51.58771,29.6066266883469
